codigo,nome,marca,linha,descricao_atual,descricao_proposta,diferenciais_propostos,beneficios_site,indicado_para,dados_tecnicos,qualidade_descricao,fonte_descricao,fonte_diferenciais,confianca_descricao,confianca_diferenciais,status_revisao,observacao
0272,Guitarra Pocoyo,playmi,PLAY&COLLECT,,"A Guitarra Pocoyo é um instrumento musical infantil que une diversão, personagem e estímulo sonoro em uma única experiência.",Com som,Estimula percepção musical e senso rítmico | Possui mecanismo e som para maior interação | Desenvolve coordenação motora | Incentiva expressão artística | Brinquedo temático com personagem infantil,"Crianças + 4 anos que gostam de música, personagens e brincadeiras que envolvem ritmo e criatividade.",material=Plástico | cor=Azul | genero=Unissex | idade=+ 4 anos | conteudo_caixa=1 Guitarra Pocoyo | ncm=9503.00.99 | cst=500 | dun=2789648410272-2 | produto_mm=372x120x42 | caixa=6un/1.76kg | peso=0.125kg,ESPECIFICA,https://cardosotoys.com.br/playmi/produtos/guitarra-pocoyo/,https://cardosotoys.com.br/playmi/produtos/guitarra-pocoyo/,CONFIRMADO,CONFIRMADO,PENDENTE,
0275,Boneco de Vinil Pocoyo,playmi,PLAY&COLLECT,,"O Boneco de Vinil Pocoyo é ideal para acompanhar a criança nos primeiros anos de desenvolvimento, oferecendo uma experiência lúdica com um dos personagens mais queridos do universo infantil.",Aproximadamente - 15cm,Estimula imaginação e criação de histórias | Desenvolve coordenação motora fina | Incentiva vínculo afetivo com personagem | Material em vinil fácil de manusear | Ideal para a primeira infância,"Crianças + 18 meses que estão desenvolvendo coordenação, vínculo afetivo e habilidades de imaginação por meio do brincar.",material=Vinil | cor=Azul | genero=Unissex | idade=+ 18 meses | conteudo_caixa=1 Boneco de Vinil Pocoyo | ncm=9503.00.22 | cst=000 | dun=2789648410275-3 | produto_mm=70x65x140 | caixa=6un/1.21kg | peso=0.06kg,ESPECIFICA,https://cardosotoys.com.br/playmi/produtos/boneco-de-vinil-pocoyo/,https://cardosotoys.com.br/playmi/produtos/boneco-de-vinil-pocoyo/,CONFIRMADO,CONFIRMADO,PENDENTE,
0280,Mipuxa Azul,tópi,PRIMEIRA INFÂNCIA,,O Mipuxa Azul é um carrinho didático desenvolvido para estimular o desenvolvimento motor e cognitivo na primeira infância.,,Estimula coordenação motora grossa | Desenvolve coordenação motora fina | Incentiva reconhecimento de formas geométricas | Auxilia no desenvolvimento cognitivo | Ideal para primeira infância,"Crianças + 18 meses que estão desenvolvendo habilidades motoras, percepção espacial e reconhecimento de formas por meio de atividades didáticas.","material=Plástico | cor=Azul ou Rosa | genero=Unissex | idade=+ 18 meses | conteudo_caixa=1 Mipuxa
4 formas geométricas | ncm=9503.00.80 | cst=000 | dun=2789648410280-7 | produto_mm=312x255x170 | caixa=6un/5.46kg | peso=0.58kg",ESPECIFICA,https://cardosotoys.com.br/topi/produtos/mipuxa-azul/,(sem fonte),CONFIRMADO,NAO_ENCONTRADO,PENDENTE,
0281,Boneco de Vinil Loula,playmi,PLAY&COLLECT,,O Boneco de Vinil Loula é ideal para acompanhar a criança nas primeiras descobertas do universo lúdico.,Para brincar no banho,Estimula imaginação e criação de histórias | Desenvolve coordenação motora fina | Incentiva vínculo afetivo com personagem | Material em vinil fácil de manusear | Ideal para a primeira infância,"Crianças + 18 meses que estão desenvolvendo habilidades motoras, imaginação e interação por meio do brincar.",material=Vinil | cor=Marrom | genero=Unissex | idade=+ 18 meses | conteudo_caixa=1 Boneco de Vinil Loula | ncm=9503.00.39 | cst=000 | dun=2789648410281-4 | produto_mm=74x85x103 | caixa=6un/1.15kg | peso=0.05kg,ESPECIFICA,https://cardosotoys.com.br/playmi/produtos/boneco-de-vinil-loula/,https://cardosotoys.com.br/playmi/produtos/boneco-de-vinil-loula/,CONFIRMADO,CONFIRMADO,PENDENTE,
0282,Boneco de Vinil Pato,playmi,PLAY&COLLECT,,O Boneco de Vinil Pato é perfeito para ampliar o universo do faz de conta na primeira infância.,Para brincar no banho,Estimula imaginação e narrativa | Desenvolve coordenação motora fina | Incentiva interação e vínculo afetivo | Material em vinil fácil de manusear | Ideal para primeira infância,"Crianças + 18 meses que estão desenvolvendo habilidades motoras, imaginação e interação social por meio do brincar.",material=Vinil | cor=Amarelo | genero=Unissex | idade=+ 18 meses | conteudo_caixa=1 Boneco de Vinil Pato | ncm=9503.00.39 | cst=000 | dun=2789648410282-1 | produto_mm=52x96x161 | caixa=6un/1.255kg | peso=0.07kg,ESPECIFICA,https://cardosotoys.com.br/playmi/produtos/boneco-de-vinil-pato/,https://cardosotoys.com.br/playmi/produtos/boneco-de-vinil-pato/,CONFIRMADO,CONFIRMADO,PENDENTE,
0300,Totokinha Clássica Rosa Caixa Individual,playmi,PLAY&RIDE,Um brinquedo que auxilia o desenvolvimento da criança de forma lúdica e divertida,"A Totokinha Clássica Rosa Caixa Individual é um brinquedo de montaria desenvolvido para estimular os primeiros movimentos da criança com segurança, estabilidade e diversão.",Estimula o equilíbrio | Formas Geométricas | Marcha e chave crec-crec | Porta-malas abre e fecha | Possui buzina,Estimula equilíbrio e coordenação motora grossa | Fortalece a musculatura das pernas | Incentiva autonomia e independência | Auxilia no desenvolvimento do controle corporal | Ideal para primeiros deslocamentos com segurança,Crianças + 18 meses em fase inicial de desenvolvimento da mobilidade ativa.,"material=Plástico | cor=Rosa | genero=Menina | idade=+ 18 meses | conteudo_caixa=1 Totokinha 
4 formas geométricas | ncm=9503.00.10 | cst=000 | dun=X | produto_mm=485x260x358 | caixa=1un/1.655kg | peso=1.24kg",ESPECIFICA,https://cardosotoys.com.br/playmi/produtos/totokinha-classica-rosa-caixa-individual/,https://cardosotoys.com.br/playmi/produtos/totokinha-classica-rosa-caixa-individual/,CONFIRMADO,CONFIRMADO,PENDENTE,"DESCRICAO_EXISTENTE — preservada, nao substituir"
0301,Totokinha Clássica Azul Caixa Individual,playmi,PLAY&RIDE,A cor da embalagem individual,A Totokinha Clássica Azul Caixa Individual é perfeita para apoiar o desenvolvimento motor na primeira infância.,Estimula o equilíbrio | Formas Geométricas | Marcha e chave crec-crec | Porta-malas abre e fecha | Possui buzina,Desenvolve equilíbrio e coordenação motora grossa | Estimula força nas pernas | Incentiva independência nos movimentos | Auxilia no desenvolvimento da confiança corporal | Ideal para fase inicial de mobilidade,Crianças + 18 meses que estão descobrindo a mobilidade independente.,"material=Plástico | cor=Azul | genero=Menino | idade=+ 18 meses | conteudo_caixa=1 Totokinha 
4 formas geométricas | ncm=9503.00.10 | cst=000 | dun=X | produto_mm=485x260x358 | caixa=1un/1.655kg | peso=1.24kg",ESPECIFICA,https://cardosotoys.com.br/playmi/produtos/totokinha-classica-azul-caixa-individual/,https://cardosotoys.com.br/playmi/produtos/totokinha-classica-azul-caixa-individual/,CONFIRMADO,CONFIRMADO,PENDENTE,"DESCRICAO_EXISTENTE — preservada, nao substituir"
1007,Dino Sabidinho,tópi,PRIMEIRA INFÂNCIA,,O Dino Sabidinho é um caminhão didático desenvolvido para estimular o aprendizado na primeira infância de forma divertida e interativa.,,Estimula coordenação motora grossa | Desenvolve coordenação motora fina | Incentiva reconhecimento de formas geométricas | Trabalha percepção visual e raciocínio lógico | Ideal para a fase da primeira infância,"Crianças + 18 meses que estão desenvolvendo habilidades motoras, cognitivas e reconhecimento de formas por meio de atividades didáticas e interativas.","material=Plástico | cor=Vermelho ou Amarelo | genero=Unissex | idade=+ 18 meses | conteudo_caixa=1 caminhão Dino Sabidinho
4 formas geométricas | ncm=9503.00.80 | cst=000 | dun=2789648411007-9 | produto_mm=327x186x176 | caixa=6un/5.495kg | peso=0.635kg",ESPECIFICA,https://cardosotoys.com.br/topi/produtos/dino-sabidinho/,(sem fonte),CONFIRMADO,NAO_ENCONTRADO,PENDENTE,
1017,Tandy Tractor,playmi,PLAY&DRIVE,Um super caminhão basculante e carregadeira com caçamba e braços articulados!,O Tandy Tractor é um caminhão infantil de roda livre desenvolvido para estimular a imaginação e a coordenação motora por meio de brincadeiras dinâmicas.,Caçamba articulada | Escavadeira com movimento,Estimula criatividade e imaginação | Desenvolve coordenação motora grossa | Sistema de roda livre para fácil movimentação | Incentiva percepção espacial | Ideal para brincadeiras com veículos e cenários de transporte,"Crianças + 3 anos que gostam de brincar com caminhões e criar cenários de transporte, fazenda e aventura.",material=Plástico | cor=Vermelho | genero=Menino | idade=+ 3 Anos | conteudo_caixa=1 Caminhão | ncm=9503.00.80 | cst=000 | dun=17896484110171 | produto_mm=470x240x278 | caixa=4un/6.36kg | peso=0.945kg,ESPECIFICA,https://cardosotoys.com.br/playmi/produtos/tandy-tractor/,https://cardosotoys.com.br/playmi/produtos/tandy-tractor/,CONFIRMADO,CONFIRMADO,PENDENTE,"DESCRICAO_EXISTENTE — preservada, nao substituir"
1018,Combo 2 Construction,playmi,PLAY&DRIVE,,"O Combo 2 Construction é um caminhão infantil de roda livre inspirado no universo da construção, ideal para crianças que gostam de criar cenários com obras, máquinas e transporte de materiais.",A cabine gira | Caçamba articulada,Estimula imaginação no universo da construção | Desenvolve coordenação motora grossa | Sistema de roda livre para fácil deslocamento | Incentiva percepção espacial | Ideal para criar cenários de obra e transporte,Crianças + 3 anos que gostam de veículos de construção e brincadeiras com caminhões e cenários de obra.,material=Plástico | cor=Amarelo | genero=Menino | idade=+ 3 Anos | conteudo_caixa=1 Caminhão | ncm=9503.00.80 | cst=000 | dun=17896484110188 | produto_mm=350x220x236 | caixa=4un/5.3kg | peso=0.73kg,ESPECIFICA,https://cardosotoys.com.br/playmi/produtos/combo-2-construction/,https://cardosotoys.com.br/playmi/produtos/combo-2-construction/,CONFIRMADO,CONFIRMADO,PENDENTE,
1036,Jeep Rally (No Filme),tópi,RODA LIVRE,,O Jeep Rally é perfeito para crianças que adoram aventuras sobre rodas.,,Estimula coordenação motora | Incentiva criatividade e imaginação | Design esportivo e resistente | Ideal para brincadeiras dinâmicas,Crianças a partir de 3 anos que gostam de jipes e aventuras off-road.,material=Plástico | cor=Azul | genero=Menino | idade=+ 3 Anos | conteudo_caixa=1 Carro | ncm=9503.00.80 | cst=000 | dun=47896484110363 | produto_mm=230x115x110 | caixa=12un/2.47kg | peso=0.198kg,ESPECIFICA,https://cardosotoys.com.br/topi/produtos/jeep-rally-sem-embalagem/,(sem fonte),CONFIRMADO,NAO_ENCONTRADO,PENDENTE,
1040,Combo Trator Escavadeira,tópi,RODA LIVRE,,O Combo Trator Escavadeira é perfeito para crianças que adoram o universo da construção e das grandes máquinas.,,Estimula criatividade e imaginação | Incentiva o brincar ativo | Desenvolve coordenação motora | Estrutura resistente e segura,"Crianças a partir de 3 anos que gostam de brincar com tratores, escavadeiras e criar cenários de construção.",material=Plástico | cor=Amarelo | genero=Menino | idade=+ 3 Anos | conteudo_caixa=1 Escavadeira | ncm=9503.00.80 | cst=000 | dun=27896484110406 | produto_mm=365x160x150 | caixa=6un/3.66kg | peso=0.315kg,ESPECIFICA,https://cardosotoys.com.br/topi/produtos/combo-trator-escavadeira/,(sem fonte),CONFIRMADO,NAO_ENCONTRADO,PENDENTE,
1041,Combo Trator Retroescavadeira,tópi,RODA LIVRE,,O Combo Trator Retroescavadeira é a escolha ideal para pequenos construtores que adoram criar cenários de obras e aventuras cheias de movimento.,,Estimula imaginação e criatividade | Incentiva o brincar ativo | Desenvolve coordenação motora | Estrutura resistente e segura,"Crianças a partir de 3 anos que gostam de tratores, máquinas de construção e brincadeiras com movimento.",material=Plástico | cor=Amarelo | genero=Menino | idade=+ 3 Anos | conteudo_caixa=1 Retroescavadeira | ncm=9503.00.80 | cst=000 | dun=27896484110413 | produto_mm=416x160x196 | caixa=6un/4.565kg | peso=0.385kg,ESPECIFICA,https://cardosotoys.com.br/topi/produtos/combo-trator-retroescavadeira/,(sem fonte),CONFIRMADO,NAO_ENCONTRADO,PENDENTE,
1042,Invictus Basculante,tópi,RODA LIVRE,,O Invictus Basculante é o caminhão ideal para crianças que adoram transportar cargas e criar cenários de construção cheios de ação.,,Estimula criatividade e imaginação | Incentiva o brincar ativo | Desenvolve coordenação motora | Estrutura resistente e durável,"Crianças a partir de 3 anos que gostam de caminhões, transporte de cargas e brincadeiras com temática de construção.",material=Plástico | cor=Amarelo/Vermelho | genero=Menino | idade=+ 3 Anos | conteudo_caixa=1 Caminhão | ncm=9503.00.80 | cst=000 | dun=47896484110424 | produto_mm=255x105x117 | caixa=12un/4.155kg | peso=0.215kg,ESPECIFICA,https://cardosotoys.com.br/topi/produtos/invictus-basculante/,(sem fonte),CONFIRMADO,NAO_ENCONTRADO,PENDENTE,
1044,Invictus Graneleiro,tópi,RODA LIVRE,,O Invictus Graneleiro é o caminhão ideal para crianças que gostam de transportar cargas e criar cenários cheios de aventura.,,Estimula imaginação e criatividade | Incentiva o brincar ativo | Desenvolve coordenação motora | Estrutura resistente e durável,"Crianças a partir de 3 anos que gostam de caminhões, transporte de cargas e brincadeiras com temática de construção e logística.",material=Plástico | cor=Amarelo/Vermelho | genero=Menino | idade=+ 3 Anos | conteudo_caixa=1 Caminhão | ncm=9503.00.80 | cst=000 | dun=47896484110448 | produto_mm=430x110x120 | caixa=12un/6.685kg | peso=0.355kg,ESPECIFICA,https://cardosotoys.com.br/topi/produtos/invictus-graneleiro/,(sem fonte),CONFIRMADO,NAO_ENCONTRADO,PENDENTE,
1045,Invictus Resgate,tópi,RODA LIVRE,,O Invictus Resgate é o conjunto perfeito para crianças que adoram missões cheias de ação e aventura.,,Estimula criatividade e imaginação | Incentiva o brincar ativo | Desenvolve coordenação motora | Conjunto com dois veículos para mais diversão,"Crianças a partir de 3 anos que gostam de caminhões, carros e aventuras com temática de resgate.","material=Plástico | cor=Amarelo/Vermelho | genero=Menino | idade=+ 3 Anos | conteudo_caixa=1 Caminhão
1 Carro | ncm=9503.00.80 | cst=000 | dun=47896484110455 | produto_mm=245x105x105 | caixa=12un/4.505kg | peso=0.245kg",ESPECIFICA,https://cardosotoys.com.br/topi/produtos/invictus-resgate/,(sem fonte),CONFIRMADO,NAO_ENCONTRADO,PENDENTE,
1046,Jeep Rally,tópi,RODA LIVRE,,O Jeep Rally é um carrinho roda livre ideal para aventuras cheias de velocidade e imaginação.,,Estimula imaginação e criatividade | Desenvolve coordenação motora | Movimento roda livre | Design estilo off-road,"Crianças a partir de 3 anos que gostam de jipes, trilhas e aventuras radicais.",material=Plástico | cor=Azul | genero=Menino | idade=+ 3 Anos | conteudo_caixa=1 Jipe | ncm=9503.00.80 | cst=000 | dun=47896484110462 | produto_mm=230x120x110 | caixa=12un/3.74kg | peso=0.175kg,ESPECIFICA,https://cardosotoys.com.br/topi/produtos/jeep-rally/,(sem fonte),CONFIRMADO,NAO_ENCONTRADO,PENDENTE,
1049,Tandy Bombeiro,playmi,PLAY&DRIVE,"Um caminhão de bombeiro equipado com cones, escadas retráteis, maca de salvamento e extintores!",O Tandy Bombeiro é um caminhão de bombeiro infantil de roda livre desenvolvido para transformar a brincadeira em verdadeiras missões de resgate.,Acompanha acessórios | Escada retrátil,Estimula imaginação com cenários de resgate | Desenvolve coordenação motora grossa | Sistema de roda livre para movimentação prática | Incentiva criatividade e narrativa | Acessórios que ampliam a experiência de brincadeira,Crianças + 3 anos que gostam de veículos de emergência e brincadeiras cheias de ação e aventura.,"material=Plástico | cor=Vermelho | genero=Menino | idade=+ 3 Anos | conteudo_caixa=1 Caminhão
1 Maca
2 extintores
2 cones | ncm=9503.00.80 | cst=000 | dun=17896484110492 | produto_mm=400x240x275 | caixa=4un/5.965kg | peso=0.885kg",ESPECIFICA,https://cardosotoys.com.br/playmi/produtos/tandy-bombeiro/,https://cardosotoys.com.br/playmi/produtos/tandy-bombeiro/,CONFIRMADO,CONFIRMADO,PENDENTE,"DESCRICAO_EXISTENTE — preservada, nao substituir"
1051,Combo Agro Trator,tópi,RODA LIVRE,,O Combo Agro Trator é perfeito para crianças que adoram o universo do campo e das máquinas agrícolas.,,Estimula criatividade e imaginação | Incentiva o brincar ativo | Desenvolve coordenação motora | Design inspirado em tratores agrícolas,"Crianças a partir de 3 anos que gostam de tratores, fazendinhas e brincadeiras com temática agrícola.",material=Plástico | cor=Amarelo | genero=Menino | idade=+ 3 Anos | conteudo_caixa=1 Trator | ncm=9503.00.80 | cst=000 | dun=27896484110512 | produto_mm=380x148x146 | caixa=6un/3.835kg | peso=0.3kg,ESPECIFICA,https://cardosotoys.com.br/topi/produtos/combo-agro-trator/,(sem fonte),CONFIRMADO,NAO_ENCONTRADO,PENDENTE,
1052,Dino Praia,tópi,AR LIVRE,,O Dino Praia é um brinquedo completo para tornar os momentos na areia ainda mais divertidos.,,Estimula criatividade e imaginação | Incentiva brincadeiras ao ar livre | Desenvolve coordenação motora | Design temático de dinossauro,Crianças a partir de 18 meses que gostam de dinossauros e brincadeiras na areia.,"material=Plástico | cor=Colorido | genero=Unissex | idade=+ 18 meses | conteudo_caixa=1 Dino Praia
1 Balde de praia
3 Formas temáticas
1 pá
1  rastelo | ncm=9503.00.80 | cst=000 | dun=47896484110523 | produto_mm=327x186x200 | caixa=6un/4.26kg | peso=0.615kg",ESPECIFICA,https://cardosotoys.com.br/topi/produtos/dino-praia/,(sem fonte),CONFIRMADO,NAO_ENCONTRADO,PENDENTE,
1053,Invictus Sky,tópi,RODA LIVRE,,"O Invictus Sky é o conjunto perfeito para crianças que adoram aventuras cheias de ação, combinando operações terrestres e aéreas em uma única brincadeira.",,Estimula criatividade e imaginação | Incentiva o brincar ativo | Desenvolve coordenação motora | Conjunto com caminhão e helicóptero,"Crianças a partir de 3 anos que gostam de caminhões, helicópteros e brincadeiras com temática de resgate e aventura.","material=Plástico | cor=Amarelo/Vermelho | genero=Menino | idade=+ 3 Anos | conteudo_caixa=1 Caminhão 
1 Helicóptero | ncm=9503.00.81 | cst=000 | dun=4789648411053-0 | produto_mm=425x105x125 | caixa=12un/6.83kg | peso=0.3kg",ESPECIFICA,https://cardosotoys.com.br/topi/produtos/invictus-sky/,(sem fonte),CONFIRMADO,NAO_ENCONTRADO,PENDENTE,
1058,Invictus Super Cegonheiro,tópi,RODA LIVRE,,O Invictus Super Cegonheiro é o conjunto ideal para crianças que adoram transportar veículos e criar cenários cheios de movimento.,,Estimula imaginação e criatividade | Incentiva o brincar ativo | Desenvolve coordenação motora | Conjunto com 5 carros para mais diversão,"Crianças a partir de 3 anos que gostam de caminhões cegonheiros, carros e brincadeiras com temática de transporte.","material=Plástico | cor=Amarelo/Vermelho | genero=Menino | idade=+ 3 Anos | conteudo_caixa=1 Caminhão 
5 Carros | ncm=9503.00.80 | cst=000 | dun=2789648411058-1 | produto_mm=490x120x170 | caixa=6un/4.608kg | peso=0.618kg",ESPECIFICA,https://cardosotoys.com.br/topi/produtos/invictus-super-cegonheiro/,(sem fonte),CONFIRMADO,NAO_ENCONTRADO,PENDENTE,
